,Period,Close,High,Low,Open,Volume,Prev Close,Weekday,p_change,TR,atr14,atr21,ma_short,ma_long,SMA_short,SMA_long,prev_ma_short,prev_ma_long,golden_cross,death_cross,ma_diff,ma_ratio,volatility,future_return_1d,score
2,2022-06-23,21085.876953125,21135.76171875,19950.1171875,19986.607421875,26188097173.0,,3,-0.05500030635748958,1185.64453125,,,,,,,,,False,False,,,1185.64453125,0.006913598955313785,53.0
3,2022-06-24,21231.65625,21472.91796875,20777.51171875,21084.6484375,24957784918.0,21085.876953125,4,-0.0069722676636400525,695.40625,,,,,,,,,False,False,,,695.40625,0.012748964915301886,56.0
4,2022-06-25,21502.337890625,21520.9140625,20964.5859375,21233.609375,18372538715.0,21231.65625,5,-0.012655809517782467,556.328125,,,,,,,,,False,False,,,556.328125,-0.022092619470793374,39.0
5,2022-06-26,21027.294921875,21783.724609375,21016.26953125,21496.494140625,18027170497.0,21502.337890625,6,0.021826778621695672,767.455078125,,,,,,,,,False,False,,,767.455078125,-0.013877981325425705,43.0
6,2022-06-27,20735.478515625,21478.08984375,20620.19921875,21028.23828125,20965695707.0,21027.294921875,0,0.013922220288232211,857.890625,,,21116.52890625,,,,,,False,False,,,857.890625,-0.021935531878719716,39.0
7,2022-06-28,20280.634765625,21164.423828125,20228.8125,20731.544921875,21381535161.0,20735.478515625,1,0.02174995437866378,935.611328125,,,20955.48046875,,,,21116.52890625,,False,False,,,935.611328125,-0.008708372798288854,46.0
8,2022-06-29,20104.0234375,20364.15625,19937.791015625,20281.169921875,23552740328.0,20280.634765625,2,0.008734529864765452,426.365234375,,,20729.95390625,,,,20955.48046875,,False,False,,,426.365234375,-0.015882237502987392,42.0
9,2022-06-30,19784.7265625,20141.16015625,18729.65625,20108.3125,26267239923.0,20104.0234375,3,0.016092147836870945,1411.50390625,,,20386.431640625,,,,20729.95390625,,False,False,,,1411.50390625,-0.02604834458398899,37.0
10,2022-07-01,19269.3671875,20632.671875,19073.708984375,19820.470703125,30767551159.0,19784.7265625,4,0.027804764270210298,1558.962890625,,,20034.84609375,,,,20386.431640625,,False,False,,,1558.962890625,-0.0014069651515378806,49.0
11,2022-07-02,19242.255859375,19371.748046875,19027.08203125,19274.8359375,18100418740.0,19269.3671875,5,0.0016902908139214867,344.666015625,,,19736.2015625,,20426.365234375,,20034.84609375,,False,False,,,344.666015625,0.0028489545560891733,51.0
12,2022-07-03,19297.076171875,19558.26953125,18966.951171875,19242.095703125,16390821947.0,19242.255859375,6,-0.0028573014913895753,591.318359375,,,19539.48984375,,20247.48515625,,19736.2015625,,False,False,,,591.318359375,0.04841073013105228,74.0
13,2022-07-04,20231.26171875,20258.748046875,19063.06640625,19297.314453125,21594638208.0,19297.076171875,0,-0.0483977844634105,1195.681640625,,,19564.9375,,20147.445703125,,19539.48984375,,False,False,,,1195.681640625,-0.002033807132101213,49.0
14,2022-07-05,20190.115234375,20635.466796875,19341.232421875,20225.353515625,26715546990.0,20231.26171875,1,0.0017422825871882455,1294.234375,,,19646.015234375,,20016.2234375,,19564.9375,,False,False,,,1294.234375,0.01773793042871091,59.0
15,2022-07-06,20548.24609375,20595.529296875,19823.51171875,20194.619140625,24598943708.0,20190.115234375,2,-0.017510949360447094,772.017578125,899.5061383928571,,19901.791015625,,19968.3185546875,,19646.015234375,,False,False,,,772.017578125,0.05301385782051426,77.0
16,2022-07-07,21637.587890625,21771.81640625,20296.103515625,20547.814453125,25814972520.0,20548.24609375,3,-0.05303597810784507,1475.712890625,920.2253069196429,,20380.857421875,,20058.5294921875,,19901.791015625,,False,False,,,1475.712890625,0.004322538045727536,52.0
17,2022-07-08,21731.1171875,22314.94140625,21257.453125,21637.154296875,49899834488.0,21637.587890625,4,-0.004342663981398461,1057.48828125,946.0883091517857,,20867.665625,,20203.577734375,,20380.857421875,,False,False,,,1057.48828125,-0.0063922234209800675,47.0
18,2022-07-09,21592.20703125,21877.138671875,21445.95703125,21716.828125,29641127858.0,21731.1171875,5,0.005738457431844688,431.181640625,937.1492745535714,,21139.8546875,,20352.39609375,,20867.665625,,False,False,,,431.181640625,-0.033889903493465975,33.0
19,2022-07-10,20860.44921875,21591.080078125,20727.123046875,21591.080078125,28688807249.0,21592.20703125,6,0.03383947707716756,865.083984375,944.1227678571429,,21273.921484375,,20459.968359375,,21139.8546875,,False,False,,,863.95703125,-0.04265931997884004,29.0
20,2022-07-11,19970.556640625,20856.353515625,19924.5390625,20856.353515625,24150249025.0,20860.44921875,0,0.04247132051805631,935.91015625,949.6955915178571,,21158.38359375,,20530.0873046875,,21273.921484375,,False,False,,,931.814453125,-0.03237979740682694,34.0
21,2022-07-12,19323.9140625,20043.4453125,19308.53125,19970.474609375,25810220018.0,19970.556640625,1,0.03237582278447587,734.9140625,935.3600725446429,,20695.648828125,20482.3091796875,20538.253125,,21158.38359375,,False,False,213.3396484374971,1.0104158006094874,734.9140625,0.04596171114078613,73.0
22,2022-07-13,20212.07421875,20223.052734375,18999.953125,19325.97265625,33042430345.0,19323.9140625,2,-0.04585029577869322,1223.099609375,992.2696707589286,919.8322172619048,20391.840234375,20438.61904296875,20629.7529296875,,20695.648828125,20482.3091796875,False,True,-46.77880859375,0.997711253950406,1223.099609375,0.017704551212910136,59.0
23,2022-07-14,20569.919921875,20789.89453125,19689.2578125,20211.466796875,31158743333.0,20212.07421875,3,-0.017735136623306443,1100.63671875,970.0648716517857,915.7842261904761,20187.3828125,20405.5322265625,20663.61875,,20391.840234375,20438.61904296875,False,False,-218.1494140625,0.9893093004563475,1100.63671875,0.012951348577769098,56.0
24,2022-07-15,20836.328125,21138.244140625,20397.0,20573.15625,25905575359.0,20569.919921875,4,-0.01279200292857349,741.244140625,911.6563895089286,917.9669828869048,20182.55859375,20372.23173828125,20728.2400390625,,20187.3828125,20405.5322265625,False,False,-189.67314453125073,0.9906896236520402,741.244140625,0.016988995331921036,58.0
25,2022-07-16,21190.31640625,21514.404296875,20518.8984375,20834.103515625,24302954056.0,20836.328125,5,-0.017097586673592662,995.505859375,958.1449497767857,938.8802083333334,20426.510546875,20380.3828125,20792.4470703125,,20182.55859375,20372.23173828125,True,False,46.12773437500073,1.0022633399381835,995.505859375,-0.019394361479604206,40.0
26,2022-07-17,20779.34375,21600.640625,20778.1796875,21195.041015625,22927802083.0,21190.31640625,6,0.019612949336523938,822.4609375,974.6551339285714,941.4995349702381,20717.596484375,20382.57607421875,20706.62265625,,20426.510546875,20380.3828125,False,False,335.0204101562522,1.0164366078623404,822.4609375,0.08211740099467771,91.0
27,2022-07-18,22485.689453125,22633.033203125,20781.912109375,20781.912109375,39974475562.0,20779.34375,0,-0.08198366612191585,1853.689453125,1021.6556919642857,988.9185267857143,21172.31953125,20492.82880859375,20782.0798828125,,20717.596484375,20382.57607421875,False,False,679.49072265625,1.0331574878706498,1851.12109375,0.04019196931937526,70.0
28,2022-07-19,23389.43359375,23666.962890625,21683.40625,22467.849609375,48765202697.0,22485.689453125,1,-0.04101789892658251,1983.556640625,1070.8929966517858,1038.8206845238096,21736.222265625,20657.09931640625,20961.8025390625,,21172.31953125,20492.82880859375,False,False,1079.1229492187522,1.0522398102797372,1983.556640625,-0.006742410894342481,47.0
29,2022-07-20,23231.732421875,24196.818359375,23009.94921875,23393.19140625,42932549127.0,23389.43359375,2,0.006901964831180013,1186.869140625,1100.5252511160713,1075.03515625,22215.303125,20829.449609375,21198.930859375,,21736.222265625,20657.09931640625,False,False,1385.853515625,1.0665333718180077,1186.869140625,-0.002888442170667192,49.0
30,2022-07-21,23164.62890625,23388.322265625,22431.1484375,23233.201171875,33631012204.0,23231.732421875,3,0.0029514772896646847,957.173828125,1063.4867466517858,1053.400390625,22610.165625,21024.2126953125,21518.3380859375,,22215.303125,20829.449609375,False,False,1585.9529296875007,1.0754345930890006,957.173828125,-0.01941107679491817,40.0
31,2022-07-22,22714.978515625,23671.927734375,22603.416015625,23163.751953125,31421555646.0,23164.62890625,4,0.019373952821121296,1068.51171875,1064.274135044643,1030.0455729166667,22997.292578125,21197.848828125,21857.44453125,,22610.165625,21024.2126953125,False,False,1799.4437500000022,1.0848880357903359,1068.51171875,-0.01098394171178176,45.0
32,2022-07-23,22465.478515625,22977.2109375,22002.91015625,22706.984375,24021799169.0,22714.978515625,5,0.010635752215555924,974.30078125,1103.068359375,1060.0281808035713,22993.250390625,21356.2689453125,22082.7849609375,,22997.292578125,21197.848828125,False,False,1636.9814453125,1.0766510971323857,974.30078125,0.006395837363315678,53.0
33,2022-07-24,22609.1640625,22974.001953125,22306.83984375,22465.509765625,23565495303.0,22465.478515625,6,-0.006394437445386117,667.162109375,1088.9310825892858,1063.6397879464287,22837.196484375,21475.1640625,22286.709375,,22993.250390625,21356.2689453125,False,False,1362.0324218749993,1.063423609612994,667.162109375,-0.055175100113235336,22.0
34,2022-07-25,21361.701171875,22649.12109375,21361.642578125,22607.15625,35574561406.0,22609.1640625,0,0.055091187248506764,1287.478515625,1114.0431082589287,1068.0110677083333,22463.190234375,21533.743359375,22339.2466796875,,22837.196484375,21475.1640625,False,False,929.4468750000015,1.043162345695708,1287.478515625,-0.005708686992848529,47.0
35,2022-07-26,21239.75390625,21361.12109375,20776.81640625,21361.12109375,28624673855.0,21361.701171875,1,0.005681686226455152,584.884765625,1103.3267299107142,1034.2325148809523,22078.215234375,21568.31875,22344.1904296875,,22463.190234375,21533.743359375,False,False,509.896484375,1.0236409935463793,584.3046875,0.07960520302344311,90.0
36,2022-07-27,22930.548828125,22986.529296875,21070.806640625,21244.169921875,31758955233.0,21239.75390625,2,-0.07938078599689345,1915.72265625,1152.7998046875,1088.6946614583333,22121.329296875,21632.966796875,22559.3109375,,22078.215234375,21568.31875,False,False,488.3624999999993,1.0225749202402763,1915.72265625,0.03983061624346138,70.0
37,2022-07-28,23843.88671875,24110.470703125,22722.265625,22933.640625,40212386158.0,22930.548828125,3,-0.03969043156443897,1388.205078125,1173.3404017857142,1084.527622767857,22397.0109375,21738.6052734375,22695.1306640625,,22121.329296875,21632.966796875,False,False,658.4056640624985,1.030287392212186,1388.205078125,-0.0016462880701044473,49.0
38,2022-07-29,23804.6328125,24294.787109375,23481.173828125,23845.212890625,35887249746.0,23843.88671875,4,0.001701812364231585,813.61328125,1178.5096261160713,1072.914527529762,22636.1046875,21849.2265625,22736.6505859375,,22397.0109375,21738.6052734375,False,False,786.8781249999993,1.0360140036421484,813.61328125,-0.006235163651508224,47.0
39,2022-07-30,23656.20703125,24572.580078125,23580.5078125,23796.818359375,28148218301.0,23804.6328125,5,0.005908828903154809,992.072265625,1178.264369419643,1099.6236049107142,23095.005859375,21989.014453125,22779.098046875,,22636.1046875,21849.2265625,False,False,1105.9914062499993,1.0502974523304667,992.072265625,-0.013497960448739256,43.0
40,2022-07-31,23336.896484375,24121.642578125,23275.703125,23652.0703125,23553591896.0,23656.20703125,6,0.013325422424371545,845.939453125,1179.94140625,1098.7119605654761,23514.434375,22157.3314453125,22796.3248046875,,23095.005859375,21989.014453125,False,False,1357.1029296875022,1.061248482608884,845.939453125,-0.0009725914343493249,50.0
41,2022-08-01,23314.19921875,23464.787109375,22890.796875,23336.71875,25849159141.0,23336.896484375,0,0.0009649827591978842,573.990234375,1088.5343191964287,1081.4776785714287,23591.164453125,22356.845703125,22856.246875,,23514.434375,22157.3314453125,False,False,1234.3187499999985,1.0552098791748368,573.990234375,-0.014415336683737026,43.0
42,2022-08-02,22978.1171875,23415.041015625,22710.083984375,23308.43359375,28389250717.0,23314.19921875,1,0.014171540310566907,704.95703125,997.2057756696429,1080.0511532738096,23418.010546875,22495.1478515625,22907.5107421875,,23591.164453125,22356.845703125,False,False,922.8626953125022,1.0410249668685063,704.95703125,-0.00572759612661367,47.0
43,2022-08-03,22846.5078125,23578.650390625,22747.8359375,22981.302734375,26288169966.0,22978.1171875,2,0.00586541691883186,830.814453125,971.7732979910714,1061.3709077380952,23226.385546875,22608.97724609375,22931.2451171875,,23418.010546875,22495.1478515625,False,False,617.4083007812515,1.027308103947423,830.814453125,-0.009434736504108773,45.0
44,2022-08-04,22630.95703125,23198.009765625,22485.701171875,22848.21484375,25120229769.0,22846.5078125,3,0.009508743417625453,712.30859375,954.2829241071429,1042.8790922619048,23021.335546875,22698.70869140625,23058.170703125,,23226.385546875,22608.97724609375,False,False,322.6268554687522,1.014213445348585,712.30859375,0.029091011085651656,65.0
45,2022-08-05,23289.314453125,23422.828125,22612.177734375,22626.833984375,28881249043.0,22630.95703125,4,-0.029278531375952863,810.650390625,935.8642578125,1046.1841517857142,23011.819140625,22803.65859375,23263.1267578125,,23021.335546875,22698.70869140625,False,False,208.16054687500218,1.0091283837643514,810.650390625,-0.014085221654344733,43.0
