,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
2,2022-06-23,11232.1904296875,11260.26953125,11046.2802734375,11137.6796875,5258200000.0,-0.008485676086875702,11137.6796875,213.9892578125,,,,1,,,0,0,,0,,0,-0.0580817028886254,3,0.9000000000000001,23.33333333333334
3,2022-06-24,11607.6201171875,11613.23046875,11337.7802734375,11351.3095703125,9468130000.0,-0.02257982176306234,11232.1904296875,381.0400390625,,,0.03342444110524623,5,,,0,0,,0,,0,2.270718070664857,5,2.5,76.66666666666666
4,2022-06-27,11524.5498046875,11677.490234375,11487.0703125,11661.01953125,5047860000.0,0.011703069889967945,11607.6201171875,190.419921875,,,-0.007156532662280779,2,,,0,0,,0,,0,-0.5567028044612617,3,1.2000000000000002,33.33333333333334
5,2022-06-28,11181.5400390625,11635.849609375,11177.6796875,11542.240234375,5433220000.0,0.0312504494784527,11524.5498046875,458.169921875,,,-0.029763398261811846,1,,,0,0,,0,,0,-2.1318035914323454,1,0.5,10.0
6,2022-06-29,11177.8896484375,11226.330078125,11072.1904296875,11160.2197265625,5650860000.0,-0.001583295159766767,11181.5400390625,154.1396484375,,,-0.0003264658188628644,3,11344.7580078125,,0,0,,0,6171654000.0,0,-0.08082773842133203,3,1.5,43.333333333333336
7,2022-06-30,11028.740234375,11160.919921875,10850.009765625,11048.25,5654520000.0,0.0017658693118819723,11177.8896484375,327.8798828125,,,-0.013343253400551203,2,11304.06796875,,0,0,,0,6250918000.0,0,-0.9877536576066088,3,1.2000000000000002,33.33333333333334
8,2022-07-01,11127.849609375,11132.5498046875,10922.7099609375,11006.830078125,4865730000.0,-0.0109949486265364,11028.740234375,209.83984375,,,0.008986463811260226,3,11208.1138671875,,0,0,,0,5330438000.0,0,0.5680372147863995,3,1.5,43.333333333333336
9,2022-07-05,11322.240234375,11323.8896484375,10911.4501953125,10964.1796875,5053570000.0,-0.032657303791109545,11127.849609375,412.439453125,,,0.01746884005659366,4,11167.651953125,,1,0,,0,5331580000.0,0,1.1590345576328422,4,2.1,63.33333333333334
10,2022-07-06,11361.849609375,11443.150390625,11250.3203125,11337.900390625,4851170000.0,-0.002112315148738029,11322.240234375,192.830078125,,,0.003498369066551321,3,11203.7138671875,,1,0,,0,5215170000.0,0,0.18566212110945157,3,1.6,46.66666666666667
11,2022-07-07,11621.349609375,11644.4697265625,11412.8798828125,11422.599609375,4685050000.0,-0.017399716946821603,11361.849609375,282.6201171875,,,0.0228395911688426,5,11292.405859375,,1,0,,0,5022008000.0,0,1.533233902795694,4,2.4000000000000004,73.33333333333334
12,2022-07-08,11635.3095703125,11689.7001953125,11479.76953125,11503.6103515625,4526570000.0,-0.011448511791092759,11621.349609375,209.9306640625,,,0.001201234056863676,3,11413.7197265625,,1,0,,0,4796418000.0,0,0.02561254919476338,3,1.6,46.66666666666667
